gum_07046_00358441827	ધાર્મિક કાર્યોમાં તેનું આગવું મહત્વ છે.
gum_08758_01009688558	તેમને સ્વિસ ગણિતશાસ્ત્રી નિકોલસ ફાતિઓ ડી ડુલિઅર સાથે અંગત સંબંધો હતા
gum_02348_01322657291	અણીટા ગામમાં મુખ્યત્વે કોળી પટેલો ઉપરાંત અન્ય લોકોની વસ્તી રહે છે.
gum_00553_01363715009	તેમાં રહેલી પ્રાકૃતિક શર્કરા તેને મીઠો શીંગ જેવો સ્વાદ આપે છે.
gum_00553_01289186551	તેને શિકાર તથા પશુ હત્યાનો ત્યાગ કર્યો.
gum_02348_02064642993	અંધાત્રી ભારત દેશના પશ્ચિમ ભાગમાં આવેલા ગુજરાત રાજ્યના સુરત જિલ્લાના મહુવા તાલુકાનું મહત્વનું ગામ છે.
gum_00856_01735073089	તેમનાં ભાઇ ઉપેન્દ્ર ત્રિવેદી સાથે તેમની કારકિર્દી ચાલીસથી વધુ વર્ષોમાં પથરાયેલી છે.
gum_07046_01154666836	તેમને રાજપાટ અભિમન્યૂના પુત્ર પરીક્ષિતને સોંપી દીધું.
gum_08841_01415257486	પલકને ઉલટાવી જોતા તેની પર રોહે દેખાય છે.
gum_06799_00785667570	અમરાપર ટોળ ગામના લોકોનો મુખ્ય વ્યવસાય ખેતી છે.
gum_08841_00730497324	તે સમય પછી ઉંમર થતાં પાંડવ ભાઈઓએ સંસારની માયાઓ છોડી દેવાનો નિર્ણય કર્યો.
gum_00505_00745927405	તેમનો ઉપયોગ નહીં થતો હોવાને કારણે તેમનો વિકાસ બંધ થઇ ગયો
gum_05251_00940376587	આ સમગ્ર સ્મારક એકસો અડતાલીસ હાથીની પીઠ પર બનેલુ છે જેમનુ કુલ વજન ત્રણ હજાર ટન છે.
gum_06799_01068973366	જે ક્રૂર અને નિયમભંગ વડે અભિમન્યુને મારવામાં આવ્યો તે વર્ણવી અર્જુનને કર્ણ વધ માટે પ્રેરિત કરે છે.
gum_00856_00810148243	અદેપુર ગામના લોકોનો મુખ્ય વ્યવસાય ખેતી છે.
gum_02348_01668944923	આ વિખ્યાત પર્યટન સ્થળ પણ છે અને અહીંનું નૈસર્ગિક સૌંદર્ય અપ્રતિમ છે.
gum_07046_00697899696	દો બાર ચેચક કા ટીકા લગાવાના રોગ સે બચને કા પ્રાય નિશ્ચિત ઉપાય છે.
gum_08758_01389964658	અકોટાદર ગામના લોકોનો મુખ્ય વ્યવસાય ખેતી છે.
gum_08758_02002057667	જે વ્યક્તિ લીલી વનસ્પતિનું છેદન કરે છે તે પોતાના આત્માને દંડ દેવાવાળો છે.
gum_00987_00002440492	પૂર્વી ઉત્તર પ્રદેશમાં ગંગા નદીના કિનારે વસેલું અલ્હાબાદ ભારત દેશનું પવિત્ર અને લોકપ્રિય તીર્થ સ્થળ છે
gum_02348_01513356354	અભિષેક વિધિ હિંદુ ધર્મ ઉપરાંત જૈન ધર્મ અને બૌદ્ધ ધર્મમાં પણ મહત્વની ધાર્મિક ક્રિયા છે.
gum_08710_01242518201	આ બસ સેવાને લોકો લાલ બસનાં હુલામણા નામે પણ ઓળખે છે
gum_06799_00159993034	આ રોગમાં કાર્નિયા પર ચેચક કે દાને ઉભર આતે હૈં
gum_06612_01277262789	તે પછીના વર્ષમાં તે ધ સિક્રેટ લાઇફ ઓફ બિઝ માં દેખાઇ હતી
gum_06612_01407002794	જમાલપુર દરવાજા - વડોદરા અને અન્ય શહેરો માટેનો નિર્ગમ દ્વાર હતો
gum_02348_01811673766	અતિવાસ્તવવાદીના માનવા મુજબ બિન પશ્ચિમ સંસ્કૃતિઓ પણ અતિવાસ્તવવાદી પ્રવૃતિઓને આગળ વધારવા માટે સતત પ્રેરણા પૂરી પાડી છે.
gum_08710_01521463020	અંબાજીના મંદિરમાં માતાજીની માન્યતા તથા શ્રદ્ધા લોકોમાં વિશેષ જોવા મળે છે
gum_02348_01748459513	અછવાડીયા ગામના લોકોનો મુખ્ય વ્યવસાય ખેતી છે.
gum_02348_01135873716	તે કાનપુરની ઈન્ડિયન ઈન્સ્ટિટયુટ ઓફ ટેકનોલોજી; અમદાવાદની ઈન્ડિયન ઈન્સ્ટિટયુટ ઓફ મેનેજમેન્ટના ગર્વનર બોર્ડના સભ્ય છે.
gum_00505_00386100560	આંબાવડ નેસ એ ભારત દેશના પશ્ચિમ ભાગમાં આવેલા ગુજરાત રાજ્યના જૂનાગઢ જિલ્લાના ઉના તાલુકામાં આવેલું ગામ છે
