mrt_01523_01464306257	एक बस चार तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पंचावन्न मिनिटं आहेत
mrt_04310_01727087719	अमरापूर गावाला रुपेरी पडद्यावर ओळख निर्माण करून दिली ती सदाशिव अमरापूर यांनीच
mrt_03398_00598923081	आज लंडनमध्ये कमाल तापमान पंचवीस अंश सेल्सिअस असेल असा अंदाज आहे
mrt_02624_01527619254	आता ती छत्री कुठे आहे ?
mrt_01523_00829338962	मी तुमच्यासाठी काय करू शकते ?
mrt_03349_00787380189	तरीही मी तुमच्यासाठी काही माहिती गोळा करू शकते . तुम्हाला काय जाणून घ्यायला आवडेल ?
mrt_03349_01739498505	खरं म्हणजे तुम्हाला मदत करणं मला आवडतं . पण दुर्दैवाने ह्याबाबतीत मी तुम्हाला मदत करू शकणार नाही
mrt_04310_00907966441	कधीकधी मी चुकून मस्करी करते
mrt_04310_00215112988	काही लोक कुबेराची पूजा करतात , तर काही लोक देवीची पूजा करून तूपभात व साखर खातात
mrt_03398_01742828992	तुम्ही कधी लॉ टमाटिनाबद्दल ऐकलं आहे का ?
mrt_03398_00759879736	आचार्य अत्र्यांनीच त्यांना लावणीसम्राज्ञी असा किताब दिला
mrt_02484_02086153449	पहिली क्रेन कधी बनवली होती ते तुम्हाला माहीत आहे का ?
mrt_09697_00126497019	आपल्या अभिनयासाठी काजोलने आजवर सहा फिल्मफेअर पुरस्कार जिंकले आहेत . त्यांपैकी विक्रमी पाच पुरस्कार सर्वोत्तम अभिनेत्री ह्या श्रेणीमध्ये आहेत
mrt_03397_01507916967	एवढंच नाही तर आपल्या गाण्यांबरोबर त्या चित्रपटांना त्यांतल्या अभिनेत्रींनादेखील अजरामर केलं
mrt_03397_01705197308	एकाच वेळी पुस्तक वाचणं आणि चित्रपट पाहणं कठीण वाटतं
mrt_02484_01765483174	अश्विन पौर्णिमेस होणाऱ्या प्राचीन लोकोत्सवाला वात्स्यायनाने कौमुदीजागर व वामन पुराणाने दीपदानजागर म्हटलं आहे
mrt_03397_02071433476	एकलव्याचं आणखी एक रहस्य उलगडतं , ते म्हणजे एकलव्य हा श्रीकृष्णाचा चुलतभाऊ होय
mrt_03349_01858649021	का नाही काहीतरी करुया ?
mrt_03397_00652306187	एम्मा थॉम्पसन ही हा सन्मान प्राप्त झालेली अठरावी महिला आहे आणि याचा तिला रास्त अभिमान आहे
mrt_03349_01505453168	तरीही मी तुमच्यासाठी थोडीफार माहिती गोळा करू शकतो तुम्हाला काय जाणून घ्यायला आवडेल ?
mrt_04310_00134153520	अमोलने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात एकोणिसावा आला
mrt_09697_01536733968	आता हे माझ्या डोक्याला चिकटलं आहे
mrt_09697_00259086484	आपण जाणते अजाणतेपणी अशी काही कामं करतो की भविष्यात ती कामं आपल्यासमोर अडचणी बनून येतात
mrt_03398_02092244872	आता एच डी एफ सी बँकेची अठरावी शाखा महात्मा ज्योतिबा फुले मंडईजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे
mrt_03397_02116745859	एकशे वीस क्रमांकाच्या विमानासाठी शेवटचा बोर्डिंग कॉल
mrt_02624_01529772873	तुम्हाला असं वाटलं याबद्दल माफ करा . मी तुम्हाला काय मदत करू शकतो ?
mrt_04310_01872480626	कढईमध्ये तेल गरम करून त्यात मोहरी टाकावी
mrt_04310_00741509992	काश्मिर पाहण्याची मोठी इच्छा आहे
